,body type,Kilometers driven,Transmission type,Number of owners,car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of Doors,City
4307,2,29120,1,1,172,2022,525000.0,4,6,5,1197.0,20.89,9,0,0,1,170,5,2
4308,7,62000,1,1,50,2018,660000.0,1,5,5,1498.0,21.7,57,3,0,1,170,5,2
4309,8,90513,1,1,180,2017,562000.0,1,0,5,1248.0,28.4,86,3,0,4,170,4,2
4310,7,49396,1,1,73,2018,1114000.0,1,0,5,1582.0,19.67,138,3,0,4,190,5,2
4311,8,120000,1,2,281,2008,100000.0,4,5,5,1798.0,14.53,55,0,0,4,205,4,2
4312,2,18475,1,1,155,2019,344000.0,4,6,5,796.0,22.05,138,0,0,4,170,5,2
4313,7,100000,0,2,10,2018,4750000.0,1,5,7,2967.0,12.07,138,3,0,4,215,5,2
4314,2,27792,1,1,81,2019,530000.0,0,6,5,1086.0,30.48,116,0,0,4,170,5,2
4315,8,55000,0,1,17,2019,4500000.0,4,0,5,1998.0,15.01,9,2,0,4,250,4,2
4316,8,72000,1,1,63,2011,278000.0,4,5,5,1497.0,17.0,138,0,0,4,170,4,2
